year,tmp,month,tmpLoess,deconID
2010,4.2,2,4.917724024554069,480
2011,4.9,2,4.950767438938982,481
2012,6.9,2,4.983713520404791,482
2013,0.1,2,5.016603234735392,483
2014,6.9,2,5.049464027510815,484
2015,5.2,2,5.082337706054517,485
2016,4,2,5.115251072649031,486
2017,7.2,2,5.148226894763518,487
1881,5.6,3,6.992227149760167,490
1882,7.7,3,7.001868909447278,491
1883,6.1,3,7.011385955370937,492
1884,6.1,3,7.020791837890524,493
1885,9.2,3,7.0301118886063545,494
1886,8.7,3,7.039380976719894,495
1887,7.1,3,7.048614695411928,496
1888,5.7,3,7.057807724125663,497
1889,6.9,3,7.066952515250401,498
1890,6.8,3,7.076054034572024,499
1891,5.1,3,7.085122803381239,500
1892,7,3,7.0941765865870146,501
1893,8.8,3,7.10325078089873,502
1894,9.9,3,7.1123845781952575,503
1895,8.6,3,7.1216008748301025,504
1896,5.9,3,7.130898032437049,505
1897,7.2,3,7.140255237376777,506
1898,7.3,3,7.1496532218827245,507
1899,7.1,3,7.159068251330476,508
1900,6.5,3,7.168467155367476,509
1901,8,3,7.1778091152112244,510
1902,7.8,3,7.187047727220537,511
1903,4.7,3,7.196111471662223,512
1904,8.8,3,7.20489908602817,513
1905,5.9,3,7.21329290832872,514
1906,8,3,7.221115235595857,515
1907,6.1,3,7.228125131835698,516
1908,5.4,3,7.233982277982549,517
1909,7.8,3,7.2383245091643955,518
1910,7.3,3,7.241098910452295,519
1911,7.2,3,7.24279980292051,520
1912,6.9,3,7.244341934015679,521
1913,7.8,3,7.246023101603248,522
1914,9.8,3,7.2478220141996506,523
1915,6.9,3,7.249573499147897,524
1916,8.2,3,7.251492101541735,525
1917,4.3,3,7.254212404465145,526
1918,9,3,7.258559875782754,527
1919,5.6,3,7.265392329186214,528
1920,9.4,3,7.275504291692253,529
1921,7.8,3,7.289584891280139,530
1922,5.5,3,7.307802526828329,531
1923,6.8,3,7.32963877048957,532
1924,6.3,3,7.354430678253948,533
1925,8.2,3,7.381878028026772,534
1926,9.7,3,7.411872844204588,535
1927,7.1,3,7.443821719423802,536
1928,7.5,3,7.476795594401736,537
1929,4.5,3,7.509737264792577,538
1930,8.3,3,7.541635085026066,539
1931,5.8,3,7.571524263971568,540
1932,7,3,7.598944595905628,541
1933,7,3,7.623834046381056,542
1934,10.3,3,7.646387385212222,543
1935,7.3,3,7.667072515112942,544
1936,6.2,3,7.686356135816361,545
1937,8,3,7.704834674508703,546
1938,5,3,7.722881349064167,547
1939,8.6,3,7.740629564245907,548
1940,7.9,3,7.758110339240275,549
1941,5.5,3,7.775422587791709,550
1942,7.5,3,7.792443103449003,551
1943,9.3,3,7.808787121619645,552
1944,8.6,3,7.824197905997153,553
1945,8.8,3,7.838535822934073,554
1946,10.2,3,7.85154763021723,555
1947,9.4,3,7.863129609079952,556
1948,10,3,7.872944854273616,557
1949,10.3,3,7.880640914183242,558
1950,6.8,3,7.885586904908232,559
1951,7.3,3,7.88731173098881,560
1952,10.3,3,7.885575810629266,561
1953,9,3,7.880090965900024,562
1954,5.8,3,7.870557705927524,563
1955,6.9,3,7.856533694446803,564
1956,5.3,3,7.8378988288833895,565
1957,7.5,3,7.814928207684801,566
1958,5.2,3,7.788094790015464,567
1959,9.4,3,7.757913773245832,568
1960,7.4,3,7.7250904319912905,569
1961,10.6,3,7.690499468596542,570
1962,8.2,3,7.654836967790686,571
1963,8.4,3,7.618543900040606,572
1964,8.6,3,7.581918658639594,573
1965,6.7,3,7.54567302872708,574
1966,8.6,3,7.510805327438575,575
1967,6.5,3,7.478264580510427,576
1968,9,3,7.449024317559747,577
1969,7,3,7.423836512178475,578
1970,5.3,3,7.403247229183876,579
1971,8.2,3,7.387815240361988,580
1972,7.2,3,7.377815582492779,581
1973,5.1,3,7.37317466978579,582
1974,8,3,7.3734705360763115,583
1975,6.8,3,7.378070931584112,584
1976,6.9,3,7.386239325440196,585
1977,5.7,3,7.3973824151076775,586
1978,6.5,3,7.4110618063293,587
1979,6.3,3,7.427034241471318,588
1980,6,3,7.44541707636408,589
1981,7.8,3,7.466198126990932,590
1982,6.5,3,7.489476925397312,591
1983,8.6,3,7.515667926835775,592
1984,6.8,3,7.545628486570479,593
1985,7.6,3,7.579985101195888,594
1986,6.3,3,7.61914133063182,595
1987,9.1,3,7.6633526555834095,596
1988,8,3,7.712564395680857,597
1989,7.2,3,7.77883510109146,598
1990,7.4,3,7.84175897495129,599
1991,7.1,3,7.901532985152585,600
1992,7.8,3,7.959048798350267,601
1993,10.4,3,8.015113570982265,602
1994,7.9,3,8.07029476097911,603
1995,8.5,3,8.12494604450086,604
1996,8.4,3,8.179296673981028,605
